run_rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,label,point_index,gen,best_curve,best_ga,best_known,gap_to_best_known,stop_reason
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,25,24.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,26,25.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,27,26.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,28,27.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,29,28.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,30,29.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,31,30.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,32,31.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,33,32.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,34,33.0,255.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,35,34.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,36,35.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,37,36.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,38,37.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,39,38.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,40,39.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,41,40.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,42,41.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,43,42.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,44,43.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,45,44.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,46,45.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,47,46.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,48,47.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,49,48.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,50,49.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,51,50.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,52,51.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,53,52.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,54,53.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,55,54.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,56,55.0,254.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,57,56.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,58,57.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,59,58.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,60,59.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,61,60.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,62,61.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,63,62.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,64,63.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,65,64.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,66,65.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,67,66.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,68,67.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,69,68.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,70,69.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,71,70.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,72,71.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,73,72.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,74,73.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,75,74.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,76,75.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,77,76.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,78,77.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,79,78.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,80,79.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,81,80.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,82,81.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,83,82.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,84,83.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,85,84.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,86,85.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,87,86.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,88,87.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,89,88.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,90,89.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,91,90.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,92,91.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,93,92.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,94,93.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,95,94.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,96,95.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,97,96.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,98,97.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,99,98.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,100,99.0,253.0,253.0,224.0,29.0,max_generations
5,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,101,100.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,1,0.0,290.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,2,1.0,272.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,3,2.0,268.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,4,3.0,265.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,5,4.0,263.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,6,5.0,262.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,7,6.0,259.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,8,7.0,259.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,9,8.0,259.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,10,9.0,257.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,11,10.0,257.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,12,11.0,257.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,13,12.0,257.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,14,13.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,15,14.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,16,15.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,17,16.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,18,17.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,19,18.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,20,19.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,21,20.0,256.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,22,21.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,23,22.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,24,23.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,25,24.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,26,25.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,27,26.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,28,27.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,29,28.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,30,29.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,31,30.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,32,31.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,33,32.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,34,33.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,35,34.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,36,35.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,37,36.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,38,37.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,39,38.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,40,39.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,41,40.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,42,41.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,43,42.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,44,43.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,45,44.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,46,45.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,47,46.0,255.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,48,47.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,49,48.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,50,49.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,51,50.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,52,51.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,53,52.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,54,53.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,55,54.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,56,55.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,57,56.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,58,57.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,59,58.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,60,59.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,61,60.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,62,61.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,63,62.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,64,63.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,65,64.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,66,65.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,67,66.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,68,67.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,69,68.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,70,69.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,71,70.0,254.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,72,71.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,73,72.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,74,73.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,75,74.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,76,75.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,77,76.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,78,77.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,79,78.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,80,79.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,81,80.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,82,81.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,83,82.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,84,83.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,85,84.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,86,85.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,87,86.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,88,87.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,89,88.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,90,89.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,91,90.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,92,91.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,93,92.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,94,93.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,95,94.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,96,95.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,97,96.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,98,97.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,99,98.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,100,99.0,253.0,253.0,224.0,29.0,max_generations
6,decuple,generational,1,0.9,insertion_window,random,generational/random/insertion_window,101,100.0,253.0,253.0,224.0,29.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,1,0.0,263.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,2,1.0,263.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,3,2.0,263.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,4,3.0,263.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,5,4.0,263.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,6,5.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,7,6.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,8,7.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,9,8.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,10,9.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,11,10.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,12,11.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,13,12.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,14,13.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,15,14.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,16,15.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,17,16.0,261.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,18,17.0,260.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,19,18.0,260.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,20,19.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,21,20.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,22,21.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,23,22.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,24,23.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,25,24.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,26,25.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,27,26.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,28,27.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,29,28.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,30,29.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,31,30.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,32,31.0,256.0,254.0,224.0,30.0,max_generations
7,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,33,32.0,256.0,254.0,224.0,30.0,max_generations
